Year,Period,Scheme_description,Residence_county,Recipients
2014,1,Illness Benefit,Dublin,25961
2014,1,Disability Allowance,Dublin,26736
2014,1,Invalidity Pension,Dublin,13898
2014,1,Carers Allowance,Galway,3373
2014,1,Carers Benefit,Galway,119
2014,1,Illness Benefit,Galway,4854
2014,1,Disability Allowance,Galway,6215
2014,1,Invalidity Pension,Galway,1936
2014,1,Carers Allowance,Kerry,2385
2014,1,Carers Benefit,Kerry,76
2014,1,Illness Benefit,Kerry,2839
2014,1,Disability Allowance,Kerry,4206
2014,1,Invalidity Pension,Kerry,1498
2014,1,Carers Allowance,Kildare,1974
2014,1,Carers Benefit,Kildare,80
2014,1,Illness Benefit,Kildare,4730
2014,1,Disability Allowance,Kildare,3642
2014,1,Invalidity Pension,Kildare,2206
2014,1,Carers Allowance,Kilkenny,1260
2014,1,Carers Benefit,Kilkenny,30
2014,1,Illness Benefit,Kilkenny,1826
2014,1,Disability Allowance,Kilkenny,2237
2014,1,Invalidity Pension,Kilkenny,976
2014,1,Carers Allowance,Laois,1079
2014,1,Carers Benefit,Laois,37
2014,1,Illness Benefit,Laois,1881
2014,1,Disability Allowance,Laois,1942
2014,1,Invalidity Pension,Laois,945
2014,1,Carers Allowance,Leitrim,555
2014,1,Carers Benefit,Leitrim,20
2014,1,Illness Benefit,Leitrim,841
2014,1,Disability Allowance,Leitrim,795
2014,1,Invalidity Pension,Leitrim,451
2014,1,Carers Allowance,Limerick,3043
2014,1,Carers Benefit,Limerick,63
2014,1,Illness Benefit,Limerick,4730
2014,1,Disability Allowance,Limerick,5531
2014,1,Invalidity Pension,Limerick,3131
2014,1,Carers Allowance,Longford,806
2014,1,Carers Benefit,Longford,21
2014,1,Illness Benefit,Longford,904
2014,1,Disability Allowance,Longford,1229
2014,1,Invalidity Pension,Longford,603
2014,1,Carers Allowance,Louth,1580
2014,1,Carers Benefit,Louth,34
2014,1,Illness Benefit,Louth,3525
2014,1,Disability Allowance,Louth,2874
2014,1,Invalidity Pension,Louth,1783
2014,1,Carers Allowance,Mayo,2441
2014,1,Carers Benefit,Mayo,65
2014,1,Illness Benefit,Mayo,2885
2014,1,Disability Allowance,Mayo,3606
2014,1,Invalidity Pension,Mayo,1376
2014,1,Carers Allowance,Meath,1753
2014,1,Carers Benefit,Meath,76
2014,1,Illness Benefit,Meath,4572
2014,1,Disability Allowance,Meath,2839
2014,1,Invalidity Pension,Meath,1682
2014,1,Carers Allowance,Monaghan,847
2014,1,Carers Benefit,Monaghan,18
2014,1,Illness Benefit,Monaghan,1291
2014,1,Disability Allowance,Monaghan,1285
2014,1,Invalidity Pension,Monaghan,561
2014,1,Carers Allowance,Offaly,1275
2014,1,Carers Benefit,Offaly,22
2014,1,Illness Benefit,Offaly,1800
2014,1,Disability Allowance,Offaly,1849
2014,1,Invalidity Pension,Offaly,1106
2014,1,Carers Allowance,Roscommon,1072
2014,1,Carers Benefit,Roscommon,51
2014,1,Illness Benefit,Roscommon,1487
2014,1,Disability Allowance,Roscommon,1638
2014,1,Invalidity Pension,Roscommon,808
2014,1,Carers Allowance,Sligo,996
2014,1,Carers Benefit,Sligo,43
2014,1,Illness Benefit,Sligo,1620
2014,1,Disability Allowance,Sligo,1868
2014,1,Invalidity Pension,Sligo,820
2014,1,Carers Allowance,Tipperary,2750
2014,1,Carers Benefit,Tipperary,56
2014,1,Illness Benefit,Tipperary,3394
2014,1,Disability Allowance,Tipperary,4899
2014,1,Invalidity Pension,Tipperary,2101
2014,1,Carers Allowance,Waterford,1513
2014,1,Carers Benefit,Waterford,31
2014,1,Illness Benefit,Waterford,2564
2014,1,Disability Allowance,Waterford,2784
2014,1,Invalidity Pension,Waterford,1549
2014,1,Carers Allowance,Westmeath,1217
2014,1,Carers Benefit,Westmeath,37
2014,1,Illness Benefit,Westmeath,2024
2014,1,Disability Allowance,Westmeath,2098
2014,1,Invalidity Pension,Westmeath,1166
2014,1,Carers Allowance,Wexford,2471
2014,1,Carers Benefit,Wexford,46
2014,1,Illness Benefit,Wexford,2994
2014,1,Disability Allowance,Wexford,3842
2014,1,Invalidity Pension,Wexford,2006
2014,1,Carers Allowance,Wicklow,1466
2014,1,Carers Benefit,Wicklow,46
2014,1,Illness Benefit,Wicklow,2682
2014,1,Disability Allowance,Wicklow,2760
2014,1,Invalidity Pension,Wicklow,1385
2014,1,State Pension Contributory,Carlow,3647
2014,1,State Pension Non Contributory,Carlow,1299
2014,1,Widow(er)'s Contributory Pension,Carlow,1414
2014,1,State Pension Contributory,Cavan,4058
2014,1,State Pension Non Contributory,Cavan,2625
2014,1,Widow(er)'s Contributory Pension,Cavan,1654
2014,1,State Pension Contributory,Clare,7446
2014,1,State Pension Non Contributory,Clare,3709
2014,1,Widow(er)'s Contributory Pension,Clare,2908
2014,1,State Pension Contributory,Cork,33916
2014,1,State Pension Non Contributory,Cork,10354
2014,1,Widow(er)'s Contributory Pension,Cork,13221
2014,1,State Pension Contributory,Donegal,8769
2014,1,State Pension Non Contributory,Donegal,6917
2014,1,Widow(er)'s Contributory Pension,Donegal,3476
2014,1,State Pension Contributory,Dublin,85665
2014,1,State Pension Non Contributory,Dublin,12902
2014,1,Widow(er)'s Contributory Pension,Dublin,30132
2014,1,State Pension Contributory,Galway,13134
2014,1,State Pension Non Contributory,Galway,7654
2014,1,Widow(er)'s Contributory Pension,Galway,5337
2014,1,State Pension Contributory,Kerry,9177
2014,1,State Pension Non Contributory,Kerry,5281
2014,1,Widow(er)'s Contributory Pension,Kerry,3669
2014,1,State Pension Contributory,Kildare,10890
2014,1,State Pension Non Contributory,Kildare,2083
2014,1,Widow(er)'s Contributory Pension,Kildare,4481
2014,1,State Pension Contributory,Kilkenny,5946
2014,1,State Pension Non Contributory,Kilkenny,2185
2014,1,Widow(er)'s Contributory Pension,Kilkenny,2297
2014,1,State Pension Contributory,Laois,3971
2014,1,State Pension Non Contributory,Laois,1675
2014,1,Widow(er)'s Contributory Pension,Laois,1686
2014,1,State Pension Contributory,Leitrim,2138
2014,1,State Pension Non Contributory,Leitrim,1320
2014,1,Widow(er)'s Contributory Pension,Leitrim,964
2014,1,State Pension Contributory,Limerick,12546
2014,1,State Pension Non Contributory,Limerick,4163
2014,1,Widow(er)'s Contributory Pension,Limerick,4921
2014,1,State Pension Contributory,Longford,2422
2014,1,State Pension Non Contributory,Longford,1326
2014,1,Widow(er)'s Contributory Pension,Longford,1015
2014,1,State Pension Contributory,Louth,8231
2014,1,State Pension Non Contributory,Louth,2149
2014,1,Widow(er)'s Contributory Pension,Louth,2877
2014,1,State Pension Contributory,Mayo,8049
2014,1,State Pension Non Contributory,Mayo,5937
2014,1,Widow(er)'s Contributory Pension,Mayo,3439
2014,1,State Pension Contributory,Meath,9696
2014,1,State Pension Non Contributory,Meath,2559
2014,1,Widow(er)'s Contributory Pension,Meath,3796
2014,1,State Pension Contributory,Monaghan,3537
2014,1,State Pension Non Contributory,Monaghan,2010
2014,1,Widow(er)'s Contributory Pension,Monaghan,1449
2014,1,State Pension Contributory,Offaly,4465
2014,1,State Pension Non Contributory,Offaly,1616
2014,1,Widow(er)'s Contributory Pension,Offaly,1873
2014,1,State Pension Contributory,Roscommon,3983
2014,1,State Pension Non Contributory,Roscommon,2533
2014,1,Widow(er)'s Contributory Pension,Roscommon,1740
2014,1,State Pension Contributory,Sligo,4449
2014,1,State Pension Non Contributory,Sligo,1948
2014,1,Widow(er)'s Contributory Pension,Sligo,1720
2014,1,State Pension Contributory,Tipperary,10709
2014,1,State Pension Non Contributory,Tipperary,4527
2014,1,Widow(er)'s Contributory Pension,Tipperary,4429
2014,1,State Pension Contributory,Waterford,7936
2014,1,State Pension Non Contributory,Waterford,2472
2014,1,Widow(er)'s Contributory Pension,Waterford,3062
2014,1,State Pension Contributory,Westmeath,5347
2014,1,State Pension Non Contributory,Westmeath,1859
2014,1,Widow(er)'s Contributory Pension,Westmeath,2260
2014,1,State Pension Contributory,Wexford,9524
2014,1,State Pension Non Contributory,Wexford,3897
2014,1,Widow(er)'s Contributory Pension,Wexford,3715
2014,1,State Pension Contributory,Wicklow,9102
2014,1,State Pension Non Contributory,Wicklow,1996
2014,1,Widow(er)'s Contributory Pension,Wicklow,3217
2014,1,Household Benefits,Carlow,588
2014,1,Household Benefits,Carlow,700
2014,1,Rent Supplement,Carlow,1114
2014,1,Household Benefits,Cavan,734
2014,1,Household Benefits,Cavan,846
2014,1,Rent Supplement,Cavan,640
2014,1,Household Benefits,Clare,1156
2014,1,Household Benefits,Clare,1455
2014,1,Rent Supplement,Clare,1729
2014,1,Household Benefits,Cork,4541
2014,1,Household Benefits,Cork,7323
2014,1,Rent Supplement,Cork,9151
2014,1,Household Benefits,Donegal,1987
2014,1,Household Benefits,Donegal,1581
2014,1,Rent Supplement,Donegal,2184
2014,1,Household Benefits,Dublin,7936
2014,1,Household Benefits,Dublin,19821
2014,1,Rent Supplement,Dublin,27726
2014,1,Household Benefits,Galway,2172
2014,1,Household Benefits,Galway,2453
2014,1,Rent Supplement,Galway,3816
2014,1,Household Benefits,Kerry,1491
2014,1,Household Benefits,Kerry,1567
2014,1,Rent Supplement,Kerry,2053
2014,1,Household Benefits,Kildare,1177
2014,1,Household Benefits,Kildare,2145
2014,1,Rent Supplement,Kildare,3939
2014,1,Household Benefits,Kilkenny,787
2014,1,Household Benefits,Kilkenny,1094
2014,1,Rent Supplement,Kilkenny,1375
2014,1,Household Benefits,Laois,680
2014,1,Household Benefits,Laois,776
2014,1,Rent Supplement,Laois,1276
2014,1,Household Benefits,Leitrim,329
2014,1,Household Benefits,Leitrim,376
2014,1,Rent Supplement,Leitrim,452
2014,1,Household Benefits,Limerick,1793
2014,1,Household Benefits,Limerick,2503
2014,1,Rent Supplement,Limerick,2986
2014,1,Household Benefits,Longford,405
2014,1,Household Benefits,Longford,413
2014,1,Rent Supplement,Longford,635
2014,1,Household Benefits,Louth,978
2014,1,Household Benefits,Louth,1725
2014,1,Rent Supplement,Louth,2479
2014,1,Household Benefits,Mayo,1518
2014,1,Household Benefits,Mayo,1467
2014,1,Rent Supplement,Mayo,1835
2014,1,Household Benefits,Meath,1071
2014,1,Household Benefits,Meath,1886
2014,1,Rent Supplement,Meath,2244
2014,1,Household Benefits,Monaghan,540
2014,1,Household Benefits,Monaghan,682
2014,1,Rent Supplement,Monaghan,425
2014,1,Household Benefits,Offaly,709
2014,1,Household Benefits,Offaly,748
2014,1,Rent Supplement,Offaly,1215
2014,1,Household Benefits,Roscommon,644
2014,1,Household Benefits,Roscommon,753
2014,1,Rent Supplement,Roscommon,930
2014,1,Household Benefits,Sligo,560
2014,1,Household Benefits,Sligo,789
2014,1,Rent Supplement,Sligo,648
2014,1,Household Benefits,Tipperary,1748
2014,1,Household Benefits,Tipperary,2187
2014,1,Rent Supplement,Tipperary,2235
2014,1,Household Benefits,Waterford,1016
2014,1,Household Benefits,Waterford,1644
2014,1,Rent Supplement,Waterford,1605
2014,1,Household Benefits,Westmeath,681
2014,1,Household Benefits,Westmeath,872
2014,1,Rent Supplement,Westmeath,1663
2014,1,Household Benefits,Wexford,1519
2014,1,Household Benefits,Wexford,1932
2014,1,Rent Supplement,Wexford,3191
2014,1,Household Benefits,Wicklow,939
2014,1,Household Benefits,Wicklow,1908
2014,1,Rent Supplement,Wicklow,2206
2014,1,Maternity Benefit,Carlow,321
2014,1,One Parent Family Payment,Carlow,1103
2014,1,Jobseekers Allowance,Carlow,5551
2014,1,Jobseekers Benefit,Carlow,1153
2014,1,Widows Non Contributory Pension,Carlow,15
2014,1,Maternity Benefit,Cavan,537
2014,1,One Parent Family Payment,Cavan,1028
2014,1,Jobseekers Allowance,Cavan,6262
2014,1,Jobseekers Benefit,Cavan,1304
2014,1,Widows Non Contributory Pension,Cavan,21
2014,1,Maternity Benefit,Clare,738
2014,1,One Parent Family Payment,Clare,1635
2014,1,Jobseekers Allowance,Clare,8664
2014,1,Jobseekers Benefit,Clare,2548
2014,1,Widows Non Contributory Pension,Clare,29
2014,1,Maternity Benefit,Cork,3732
2014,1,One Parent Family Payment,Cork,7818
2014,1,Jobseekers Allowance,Cork,31327
2014,1,Jobseekers Benefit,Cork,8828
2014,1,Widows Non Contributory Pension,Cork,103
2014,1,Maternity Benefit,Donegal,862
2014,1,One Parent Family Payment,Donegal,3023
2014,1,Jobseekers Allowance,Donegal,17457
2014,1,Jobseekers Benefit,Donegal,3275
2014,1,Widows Non Contributory Pension,Donegal,87
2014,1,Maternity Benefit,Dublin,8260
2014,1,One Parent Family Payment,Dublin,26893
2014,1,Jobseekers Allowance,Dublin,77544
2014,1,Jobseekers Benefit,Dublin,19206
2014,1,Widows Non Contributory Pension,Dublin,199
2014,1,Maternity Benefit,Galway,1852
2014,1,One Parent Family Payment,Galway,3100
2014,1,Jobseekers Allowance,Galway,16953
2014,1,Jobseekers Benefit,Galway,4600
2014,1,Widows Non Contributory Pension,Galway,78
2014,1,Maternity Benefit,Kerry,877
2014,1,One Parent Family Payment,Kerry,2144
2014,1,Jobseekers Allowance,Kerry,11651
2014,1,Jobseekers Benefit,Kerry,4626
2014,1,Widows Non Contributory Pension,Kerry,64
2014,1,Maternity Benefit,Kildare,1708
2014,1,One Parent Family Payment,Kildare,3450
2014,1,Jobseekers Allowance,Kildare,14249
2014,1,Jobseekers Benefit,Kildare,4170
2014,1,Widows Non Contributory Pension,Kildare,31
2014,1,Maternity Benefit,Kilkenny,713
2014,1,One Parent Family Payment,Kilkenny,1366
2014,1,Jobseekers Allowance,Kilkenny,7507
2014,1,Jobseekers Benefit,Kilkenny,1950
2014,1,Widows Non Contributory Pension,Kilkenny,13
2014,1,Maternity Benefit,Laois,575
2014,1,One Parent Family Payment,Laois,1398
2014,1,Jobseekers Allowance,Laois,6950
2014,1,Jobseekers Benefit,Laois,1644
2014,1,Widows Non Contributory Pension,Laois,23
2014,1,Maternity Benefit,Leitrim,212
2014,1,One Parent Family Payment,Leitrim,403
2014,1,Jobseekers Allowance,Leitrim,2796
2014,1,Jobseekers Benefit,Leitrim,716
2014,1,Widows Non Contributory Pension,Leitrim,11
2014,1,Maternity Benefit,Limerick,1197
2014,1,One Parent Family Payment,Limerick,3379
2014,1,Jobseekers Allowance,Limerick,14117
2014,1,Jobseekers Benefit,Limerick,3309
2014,1,Widows Non Contributory Pension,Limerick,39
2014,1,Maternity Benefit,Longford,244
2014,1,One Parent Family Payment,Longford,758
2014,1,Jobseekers Allowance,Longford,3918
2014,1,Jobseekers Benefit,Longford,786
2014,1,Widows Non Contributory Pension,Longford,16
2014,1,Maternity Benefit,Louth,834
2014,1,One Parent Family Payment,Louth,2671
2014,1,Jobseekers Allowance,Louth,12067
2014,1,Jobseekers Benefit,Louth,2249
2014,1,Widows Non Contributory Pension,Louth,22
2014,1,Maternity Benefit,Mayo,839
2014,1,One Parent Family Payment,Mayo,1683
2014,1,Jobseekers Allowance,Mayo,9840
2014,1,Jobseekers Benefit,Mayo,2747
2014,1,Widows Non Contributory Pension,Mayo,78
2014,1,Maternity Benefit,Meath,1621
2014,1,One Parent Family Payment,Meath,2613
2014,1,Jobseekers Allowance,Meath,12512
2014,1,Jobseekers Benefit,Meath,3659
2014,1,Widows Non Contributory Pension,Meath,29
2014,1,Maternity Benefit,Monaghan,436
2014,1,One Parent Family Payment,Monaghan,868
2014,1,Jobseekers Allowance,Monaghan,5077
2014,1,Jobseekers Benefit,Monaghan,1306
2014,1,Widows Non Contributory Pension,Monaghan,17
2014,1,Maternity Benefit,Offaly,505
2014,1,One Parent Family Payment,Offaly,1268
2014,1,Jobseekers Allowance,Offaly,6997
2014,1,Jobseekers Benefit,Offaly,1629
2014,1,Widows Non Contributory Pension,Offaly,17
2014,1,Maternity Benefit,Roscommon,419
2014,1,One Parent Family Payment,Roscommon,747
2014,1,Jobseekers Allowance,Roscommon,4516
2014,1,Jobseekers Benefit,Roscommon,1391
2014,1,Widows Non Contributory Pension,Roscommon,21
2014,1,Maternity Benefit,Sligo,459
2014,1,One Parent Family Payment,Sligo,1013
2014,1,Jobseekers Allowance,Sligo,5076
2014,1,Jobseekers Benefit,Sligo,1480
2014,1,Widows Non Contributory Pension,Sligo,24
2014,1,Maternity Benefit,Tipperary,1018
2014,1,One Parent Family Payment,Tipperary,2776
2014,1,Jobseekers Allowance,Tipperary,12945
2014,1,Jobseekers Benefit,Tipperary,3236
2014,1,Widows Non Contributory Pension,Tipperary,45
2014,1,Maternity Benefit,Waterford,714
2014,1,One Parent Family Payment,Waterford,2472
2014,1,Jobseekers Allowance,Waterford,10384
2014,1,Jobseekers Benefit,Waterford,2481
2014,1,Widows Non Contributory Pension,Waterford,17
2014,1,Maternity Benefit,Westmeath,582
2014,1,One Parent Family Payment,Westmeath,1497
2014,1,Jobseekers Allowance,Westmeath,7391
2014,1,Jobseekers Benefit,Westmeath,1835
2014,1,Widows Non Contributory Pension,Westmeath,18
2014,1,Maternity Benefit,Wexford,954
2014,1,One Parent Family Payment,Wexford,3171
2014,1,Jobseekers Allowance,Wexford,14501
2014,1,Jobseekers Benefit,Wexford,3387
2014,1,Widows Non Contributory Pension,Wexford,42
2014,1,Maternity Benefit,Wicklow,980
2014,1,One Parent Family Payment,Wicklow,2381
2014,1,Jobseekers Allowance,Wicklow,9926
2014,1,Jobseekers Benefit,Wicklow,2590
2014,1,Widows Non Contributory Pension,Wicklow,27
2014,2,Child Benefit,Carlow,8308
2014,2,Family Income Supplement,Carlow,790
2014,2,Child Benefit,Cavan,10349
2014,2,Family Income Supplement,Cavan,1103
2014,2,Child Benefit,Clare,15951
2014,2,Family Income Supplement,Clare,1194
2014,2,Child Benefit,Cork,69083
2014,2,Family Income Supplement,Cork,5264
2014,2,Child Benefit,Donegal,20560
2014,2,Family Income Supplement,Donegal,2231
2014,2,Child Benefit,Dublin,158988
2014,2,Family Income Supplement,Dublin,11182
2014,2,Child Benefit,Galway,31518
2014,2,Family Income Supplement,Galway,2274
2014,2,Child Benefit,Kerry,18365
2014,2,Family Income Supplement,Kerry,1495
2014,2,Child Benefit,Kildare,32454
2014,2,Family Income Supplement,Kildare,2057
2014,2,Child Benefit,Kilkenny,13047
2014,2,Family Income Supplement,Kilkenny,901
2014,2,Child Benefit,Laois,11983
2014,2,Family Income Supplement,Laois,986
2014,2,Child Benefit,Leitrim,4138
2014,2,Family Income Supplement,Leitrim,349
2014,2,Child Benefit,Limerick,24691
2014,2,Family Income Supplement,Limerick,2020
2014,2,Child Benefit,Longford,5596
2014,2,Family Income Supplement,Longford,648
2014,2,Child Benefit,Louth,18189
2014,2,Family Income Supplement,Louth,1770
2014,2,Child Benefit,Mayo,15855
2014,2,Family Income Supplement,Mayo,1461
2014,2,Child Benefit,Meath,29509
2014,2,Family Income Supplement,Meath,2043
2014,2,Child Benefit,Monaghan,8075
2014,2,Family Income Supplement,Monaghan,916
2014,2,Child Benefit,Offaly,10658
2014,2,Family Income Supplement,Offaly,961
2014,2,Child Benefit,Roscommon,8190
2014,2,Family Income Supplement,Roscommon,695
2014,2,Child Benefit,Sligo,8115
2014,2,Family Income Supplement,Sligo,660
2014,2,Child Benefit,Tipperary,21598
2014,2,Family Income Supplement,Tipperary,1926
2014,2,Child Benefit,Waterford,15651
2014,2,Family Income Supplement,Waterford,1490
2014,2,Child Benefit,Westmeath,12220
2014,2,Family Income Supplement,Westmeath,1068
2014,2,Child Benefit,Wexford,21330
2014,2,Family Income Supplement,Wexford,2021
2014,2,Child Benefit,Wicklow,19789
2014,2,Family Income Supplement,Wicklow,1164
2014,2,Carers Allowance,Carlow,965
2014,2,Carers Benefit,Carlow,21
2014,2,Illness Benefit,Carlow,1538
2014,2,Disability Allowance,Carlow,1626
2014,2,Invalidity Pension,Carlow,936
2014,2,Carers Allowance,Cavan,956
2014,2,Carers Benefit,Cavan,30
2014,2,Illness Benefit,Cavan,1582
2014,2,Disability Allowance,Cavan,1552
2014,2,Invalidity Pension,Cavan,679
2014,2,Carers Allowance,Clare,1572
2014,2,Carers Benefit,Clare,33
2014,2,Illness Benefit,Clare,2086
2014,2,Disability Allowance,Clare,2758
2014,2,Invalidity Pension,Clare,1222
2014,2,Carers Allowance,Cork,6759
2014,2,Carers Benefit,Cork,215
2014,2,Illness Benefit,Cork,12043
2014,2,Disability Allowance,Cork,13396
2014,2,Invalidity Pension,Cork,7255
2014,2,Carers Allowance,Donegal,3278
2014,2,Carers Benefit,Donegal,58
2014,2,Illness Benefit,Donegal,2862
2014,2,Disability Allowance,Donegal,4752
2014,2,Invalidity Pension,Donegal,1558
2014,2,Carers Allowance,Dublin,11467
2014,2,Carers Benefit,Dublin,342
2014,2,Illness Benefit,Dublin,23324
2014,2,Disability Allowance,Dublin,27014
2014,2,Invalidity Pension,Dublin,13834
2014,2,Carers Allowance,Galway,3379
2014,2,Carers Benefit,Galway,117
2014,2,Illness Benefit,Galway,4363
2014,2,Disability Allowance,Galway,6245
2014,2,Invalidity Pension,Galway,1958
2014,2,Carers Allowance,Kerry,2392
2014,2,Carers Benefit,Kerry,79
2014,2,Illness Benefit,Kerry,2704
2014,2,Disability Allowance,Kerry,4214
2014,2,Invalidity Pension,Kerry,1526
2014,2,Carers Allowance,Kildare,1977
2014,2,Carers Benefit,Kildare,78
2014,2,Illness Benefit,Kildare,4308
2014,2,Disability Allowance,Kildare,3683
2014,2,Invalidity Pension,Kildare,2201
2014,2,Carers Allowance,Kilkenny,1270
2014,2,Carers Benefit,Kilkenny,41
2014,2,Illness Benefit,Kilkenny,1696
2014,2,Disability Allowance,Kilkenny,2243
2014,2,Invalidity Pension,Kilkenny,988
2014,2,Carers Allowance,Laois,1085
2014,2,Carers Benefit,Laois,40
2014,2,Illness Benefit,Laois,1718
2014,2,Disability Allowance,Laois,1971
2014,2,Invalidity Pension,Laois,946
2014,2,Carers Allowance,Leitrim,565
2014,2,Carers Benefit,Leitrim,23
2014,2,Illness Benefit,Leitrim,766
2014,2,Disability Allowance,Leitrim,799
2014,2,Invalidity Pension,Leitrim,455
2014,2,Carers Allowance,Limerick,3050
2014,2,Carers Benefit,Limerick,65
2014,2,Illness Benefit,Limerick,4469
2014,2,Disability Allowance,Limerick,5621
2014,2,Invalidity Pension,Limerick,3120
2014,2,Carers Allowance,Longford,817
2014,2,Carers Benefit,Longford,26
2014,2,Illness Benefit,Longford,812
2014,2,Disability Allowance,Longford,1252
2014,2,Invalidity Pension,Longford,604
2014,2,Carers Allowance,Louth,1602
2014,2,Carers Benefit,Louth,37
2014,2,Illness Benefit,Louth,3327
2014,2,Disability Allowance,Louth,2887
2014,2,Invalidity Pension,Louth,1766
2014,2,Carers Allowance,Mayo,2432
2014,2,Carers Benefit,Mayo,65
2014,2,Illness Benefit,Mayo,2644
2014,2,Disability Allowance,Mayo,3619
2014,2,Invalidity Pension,Mayo,1393
2014,2,Carers Allowance,Meath,1757
2014,2,Carers Benefit,Meath,77
2014,2,Illness Benefit,Meath,4213
2014,2,Disability Allowance,Meath,2902
2014,2,Invalidity Pension,Meath,1695
2014,2,Carers Allowance,Monaghan,840
2014,2,Carers Benefit,Monaghan,16
2014,2,Illness Benefit,Monaghan,1227
2014,2,Disability Allowance,Monaghan,1297
2014,2,Invalidity Pension,Monaghan,556
2014,2,Carers Allowance,Offaly,1286
2014,2,Carers Benefit,Offaly,25
2014,2,Illness Benefit,Offaly,1632
2014,2,Disability Allowance,Offaly,1860
2014,2,Invalidity Pension,Offaly,1109
2014,2,Carers Allowance,Roscommon,1076
2014,2,Carers Benefit,Roscommon,42
2014,2,Illness Benefit,Roscommon,1366
2014,2,Disability Allowance,Roscommon,1648
2014,2,Invalidity Pension,Roscommon,816
2014,2,Carers Allowance,Sligo,1004
2014,2,Carers Benefit,Sligo,44
2014,2,Illness Benefit,Sligo,1511
2014,2,Disability Allowance,Sligo,1879
2014,2,Invalidity Pension,Sligo,815
2014,2,Carers Allowance,Tipperary,2764
2014,2,Carers Benefit,Tipperary,60
2014,2,Illness Benefit,Tipperary,3254
2014,2,Disability Allowance,Tipperary,4936
2014,2,Invalidity Pension,Tipperary,2123
2014,2,Carers Allowance,Waterford,1518
2014,2,Carers Benefit,Waterford,29
2014,2,Illness Benefit,Waterford,2437
2014,2,Disability Allowance,Waterford,2808
2014,2,Invalidity Pension,Waterford,1554
2014,2,Carers Allowance,Westmeath,1217
2014,2,Carers Benefit,Westmeath,36
2014,2,Illness Benefit,Westmeath,1830
2014,2,Disability Allowance,Westmeath,2127
2014,2,Invalidity Pension,Westmeath,1175
