"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02199V02655","Sex","C01999V02434","ILO Economic Status","UNIT","VALUE"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","07","Unemployed","Thousand","58"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","08","Unemployed seeking full-time work/future job-starter","Thousand","35.5"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","09","Unemployed seeking part-time work","Thousand","21"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","10","Not in labour force","Thousand","778.5"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","11","Potential additional labour force","Thousand","17.4"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","12","Others not in labour force","Thousand","761.1"
"QLF01C01","Persons aged 15 years and over","19982","1998Q2","2","Female","14","Unemployed seeking work as self-employed","Thousand","1.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","-","All ILO economic status","Thousand","2888.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","01","In labour force","Thousand","1766.7"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","02","In employment","Thousand","1636.3"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","03","In employment full-time","Thousand","1361"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","04","In employment part-time","Thousand","275.3"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","07","Unemployed","Thousand","130.4"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","08","Unemployed seeking full-time work/future job-starter","Thousand","106.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","09","Unemployed seeking part-time work","Thousand","20.6"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","10","Not in labour force","Thousand","1121.8"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","11","Potential additional labour force","Thousand","25.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","12","Others not in labour force","Thousand","1096.3"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","-","Both sexes","14","Unemployed seeking work as self-employed","Thousand","3.3"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","-","All ILO economic status","Thousand","1420.4"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","01","In labour force","Thousand","1059"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","02","In employment","Thousand","982.8"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","03","In employment full-time","Thousand","902.6"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","04","In employment part-time","Thousand","80.2"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","07","Unemployed","Thousand","76.3"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","08","Unemployed seeking full-time work/future job-starter","Thousand","70.7"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","09","Unemployed seeking part-time work","Thousand","3.1"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","10","Not in labour force","Thousand","361.3"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","11","Potential additional labour force","Thousand","13"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","12","Others not in labour force","Thousand","348.4"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","1","Male","14","Unemployed seeking work as self-employed","Thousand","2.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","-","All ILO economic status","Thousand","1468.1"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","01","In labour force","Thousand","707.7"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","02","In employment","Thousand","653.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","03","In employment full-time","Thousand","458.4"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","04","In employment part-time","Thousand","195.1"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","07","Unemployed","Thousand","54.1"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","08","Unemployed seeking full-time work/future job-starter","Thousand","35.7"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","09","Unemployed seeking part-time work","Thousand","17.5"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","10","Not in labour force","Thousand","760.4"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","11","Potential additional labour force","Thousand","12.6"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","12","Others not in labour force","Thousand","747.9"
"QLF01C01","Persons aged 15 years and over","19983","1998Q3","2","Female","14","Unemployed seeking work as self-employed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","-","All ILO economic status","Thousand","2900.5"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","01","In labour force","Thousand","1724.6"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","02","In employment","Thousand","1615.7"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","03","In employment full-time","Thousand","1346.7"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","04","In employment part-time","Thousand","269"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","07","Unemployed","Thousand","108.8"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","08","Unemployed seeking full-time work/future job-starter","Thousand","88.2"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","09","Unemployed seeking part-time work","Thousand","17.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","10","Not in labour force","Thousand","1175.9"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","11","Potential additional labour force","Thousand","23.8"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","12","Others not in labour force","Thousand","1152"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","-","Both sexes","14","Unemployed seeking work as self-employed","Thousand","3.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","-","All ILO economic status","Thousand","1426.5"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","01","In labour force","Thousand","1038.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","02","In employment","Thousand","973.9"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","03","In employment full-time","Thousand","900.2"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","04","In employment part-time","Thousand","73.8"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","07","Unemployed","Thousand","64.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","08","Unemployed seeking full-time work/future job-starter","Thousand","60.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","09","Unemployed seeking part-time work","Thousand","1.5"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","10","Not in labour force","Thousand","388.2"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","11","Potential additional labour force","Thousand","14.6"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","12","Others not in labour force","Thousand","373.7"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","1","Male","14","Unemployed seeking work as self-employed","Thousand","2.5"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","-","All ILO economic status","Thousand","1474"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","01","In labour force","Thousand","686.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","02","In employment","Thousand","641.8"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","03","In employment full-time","Thousand","446.5"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","04","In employment part-time","Thousand","195.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","07","Unemployed","Thousand","44.5"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","08","Unemployed seeking full-time work/future job-starter","Thousand","27.9"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","09","Unemployed seeking part-time work","Thousand","15.7"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","10","Not in labour force","Thousand","787.6"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","11","Potential additional labour force","Thousand","9.3"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","12","Others not in labour force","Thousand","778.4"
"QLF01C01","Persons aged 15 years and over","19984","1998Q4","2","Female","14","Unemployed seeking work as self-employed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","-","All ILO economic status","Thousand","2906.3"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","01","In labour force","Thousand","1753.6"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","02","In employment","Thousand","1644.4"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","03","In employment full-time","Thousand","1363.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","04","In employment part-time","Thousand","280.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","07","Unemployed","Thousand","109.2"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","08","Unemployed seeking full-time work/future job-starter","Thousand","86"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","09","Unemployed seeking part-time work","Thousand","19.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","10","Not in labour force","Thousand","1152.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","11","Potential additional labour force","Thousand","26"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","12","Others not in labour force","Thousand","1126.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","-","Both sexes","14","Unemployed seeking work as self-employed","Thousand","3.5"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","-","All ILO economic status","Thousand","1429.5"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","01","In labour force","Thousand","1045.6"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","02","In employment","Thousand","982.9"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","03","In employment full-time","Thousand","905.1"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","04","In employment part-time","Thousand","77.9"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","07","Unemployed","Thousand","62.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","08","Unemployed seeking full-time work/future job-starter","Thousand","58.5"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","09","Unemployed seeking part-time work","Thousand","1.9"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","10","Not in labour force","Thousand","383.9"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","11","Potential additional labour force","Thousand","14.1"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","12","Others not in labour force","Thousand","369.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","1","Male","14","Unemployed seeking work as self-employed","Thousand","2.2"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","-","All ILO economic status","Thousand","1476.8"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","01","In labour force","Thousand","708"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","02","In employment","Thousand","661.5"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","03","In employment full-time","Thousand","458.6"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","04","In employment part-time","Thousand","202.8"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","07","Unemployed","Thousand","46.5"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","08","Unemployed seeking full-time work/future job-starter","Thousand","27.5"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","09","Unemployed seeking part-time work","Thousand","17.7"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","10","Not in labour force","Thousand","768.8"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","11","Potential additional labour force","Thousand","11.9"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","12","Others not in labour force","Thousand","757"
"QLF01C01","Persons aged 15 years and over","19991","1999Q1","2","Female","14","Unemployed seeking work as self-employed","Thousand","1.3"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","-","All ILO economic status","Thousand","2915"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","01","In labour force","Thousand","1789.8"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","02","In employment","Thousand","1679.2"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","03","In employment full-time","Thousand","1389.8"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","04","In employment part-time","Thousand","289.4"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","07","Unemployed","Thousand","110.6"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","08","Unemployed seeking full-time work/future job-starter","Thousand","86.2"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","09","Unemployed seeking part-time work","Thousand","20.9"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","10","Not in labour force","Thousand","1125.2"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","11","Potential additional labour force","Thousand","30.1"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","12","Others not in labour force","Thousand","1095.1"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","-","Both sexes","14","Unemployed seeking work as self-employed","Thousand","3.4"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","-","All ILO economic status","Thousand","1433.9"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","01","In labour force","Thousand","1065.8"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","02","In employment","Thousand","1001.8"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","03","In employment full-time","Thousand","921.5"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","04","In employment part-time","Thousand","80.4"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","07","Unemployed","Thousand","64"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","08","Unemployed seeking full-time work/future job-starter","Thousand","58.3"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","09","Unemployed seeking part-time work","Thousand","3.5"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","10","Not in labour force","Thousand","368.1"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","11","Potential additional labour force","Thousand","15.9"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","12","Others not in labour force","Thousand","352.3"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","1","Male","14","Unemployed seeking work as self-employed","Thousand","2.1"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","-","All ILO economic status","Thousand","1481.1"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","01","In labour force","Thousand","724"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","02","In employment","Thousand","677.4"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","03","In employment full-time","Thousand","468.3"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","04","In employment part-time","Thousand","209.1"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","05","In employment part-time - not underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","06","In employment part-time - underemployed","Thousand",""
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","07","Unemployed","Thousand","46.6"
"QLF01C01","Persons aged 15 years and over","19992","1999Q2","2","Female","08","Unemployed seeking full-time work/future job-starter","Thousand","27.9"
