period,programme,scheme,scheme_description,basis,county,county_code,UGI,recipients
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,875.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,11965.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,966.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,4141.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,328.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,24673.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,1983.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,5582.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,640.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,18141.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,1739.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,15927.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,1471.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,29387.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,2005.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,8088.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,903.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,10666.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,949.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,8202.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,682.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,8110.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,640.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,21590.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,1887.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Unknown,XX,unknown,10303.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Unknown,XX,unknown,799.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,15645.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,1450.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,12219.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,1050.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,21322.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,1987.0
2014Q1,Children,CB,Child Benefit,Social Assistance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,19769.0
2014Q1,Children,FIS,Family Income Supplement,Social Assistance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,1121.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,All,All,XX,58953.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,All,All,XX,1697.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,All,All,XX,102450.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,All,All,XX,109030.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,All,All,XX,54541.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,962.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,16.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,1617.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,1607.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,926.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,954.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,33.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,1770.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,1530.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,679.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,1575.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,38.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,2301.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,2739.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,1214.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,6773.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,210.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,12642.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,13281.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Cork,CK,2ae19629-1451-13a3-e055-000000000001,7241.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,3274.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,63.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,2965.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,4732.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Donegal,DL,2ae19629-1452-13a3-e055-000000000001,1574.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,11360.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,342.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,25961.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,26736.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Dublin,DN,2ae19629-144f-13a3-e055-000000000001,13898.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,3373.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,119.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,4854.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,6215.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Galway,GY,2ae19629-1453-13a3-e055-000000000001,1936.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,2385.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,76.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,2839.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,4206.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Kerry,KY,2ae19629-1454-13a3-e055-000000000001,1498.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,1974.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,80.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,4730.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,3642.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Kildare,KE,2ae19629-1455-13a3-e055-000000000001,2206.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,1260.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,30.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,1826.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,2237.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Kilkenny,KK,2ae19629-1456-13a3-e055-000000000001,976.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,1079.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,37.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,1881.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,1942.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Laois,LS,2ae19629-143e-13a3-e055-000000000001,945.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,555.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,20.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,841.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,795.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Leitrim,LM,2ae19629-143f-13a3-e055-000000000001,451.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,3043.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,63.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,4730.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,5531.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Limerick,LK,2ae19629-1440-13a3-e055-000000000001,3131.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,806.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,21.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,904.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,1229.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Longford,LD,2ae19629-1441-13a3-e055-000000000001,603.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,1580.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,34.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,3525.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,2874.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Louth,LH,2ae19629-1442-13a3-e055-000000000001,1783.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,2441.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,65.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,2885.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,3606.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Mayo,MO,2ae19629-1443-13a3-e055-000000000001,1376.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,1753.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,76.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,4572.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,2839.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Meath,MH,2ae19629-1444-13a3-e055-000000000001,1682.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,847.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,18.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,1291.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,1285.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Monaghan,MN,2ae19629-1445-13a3-e055-000000000001,561.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,1275.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,22.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,1800.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,1849.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Offaly,OY,2ae19629-1446-13a3-e055-000000000001,1106.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,1072.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,51.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,1487.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,1638.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Roscommon,RN,2ae19629-1447-13a3-e055-000000000001,808.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,996.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,43.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,1620.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,1868.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Sligo,SO,2ae19629-1449-13a3-e055-000000000001,820.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,2750.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,56.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,3394.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,4899.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Tipperary,TY,2ae19629-144a-13a3-e055-000000000001,2101.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Unknown,XX,unknown,199.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Unknown,XX,unknown,24.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Unknown,XX,unknown,1751.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Unknown,XX,unknown,266.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Unknown,XX,unknown,920.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,1513.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,31.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,2564.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,2784.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Waterford,WD,2ae19629-144b-13a3-e055-000000000001,1549.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,1217.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,37.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,2024.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,2098.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Westmeath,WH,2ae19629-144c-13a3-e055-000000000001,1166.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,2471.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,46.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,2994.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,3842.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Wexford,WX,2ae19629-144d-13a3-e055-000000000001,2006.0
2014Q1,"Illness,Disability and Caring",CAR,Carers Allowance,Social Assistance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,1466.0
2014Q1,"Illness,Disability and Caring",CARB,Carers Benefit,Social Insurance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,46.0
2014Q1,"Illness,Disability and Caring",DB,Illness Benefit,Social Insurance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,2682.0
2014Q1,"Illness,Disability and Caring",DPMA,Disability Allowance,Social Assistance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,2760.0
2014Q1,"Illness,Disability and Caring",INVP,Invalidity Pension,Social Insurance,Wicklow,WW,2ae19629-144e-13a3-e055-000000000001,1385.0
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,All,All,XX,334307.0
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,All,All,XX,97285.0
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,All,All,XX,119168.0
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,3647.0
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,1299.0
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,Carlow,CW,2ae19629-143d-13a3-e055-000000000001,1414.0
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,4058.0
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,2625.0
2014Q1,Pensions,WCP,Widow(er)'s Contributory Pension,Social Insurance,Cavan,CN,2ae19629-1448-13a3-e055-000000000001,1654.0
2014Q1,Pensions,SPC,State Pension Contributory,Social Insurance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,7446.0
2014Q1,Pensions,SPNC,State Pension Non Contributory,Social Assistance,Clare,CE,2ae19629-1450-13a3-e055-000000000001,3709.0
